time,x,y,z
5480.0,-3360394.5990657457,-5736314.345518139,1149632.5101313144
5500.0,-3253840.8719207044,-5812136.597038456,1064983.8277869124
5520.0,-3145597.5829285006,-5884940.102385737,979781.7651219703
5540.0,-3035718.840194276,-5954684.096636285,894070.6891128129
5560.0,-2924261.7160319593,-6021332.5860558,807895.1177815935
5580.0,-2811283.016927816,-6084849.786580679,721298.1604811236
5600.0,-2696842.1041094568,-6145199.599064455,634326.1513571315
5620.0,-2580997.5821997533,-6202351.191762671,547024.791174384
5640.0,-2463809.394985814,-6256274.063045086,459438.49916174926
5660.0,-2345337.4779809904,-6306938.092394741,371612.7716586483
5680.0,-2225644.089405241,-6354316.090856973,283593.19307208614
5700.0,-2104791.6397225317,-6398385.100307206,195426.03867983093
5720.0,-1982841.4765924348,-6439118.765161062,107157.03530761792
5740.0,-1859858.8764447488,-6476497.7093946,18832.315221709938
